gameid,Blue_bot_champion,Blue_jng_champion,Blue_mid_champion,Blue_sup_champion,Blue_top_champion,Red_bot_champion,Red_jng_champion,Red_mid_champion,Red_sup_champion,Red_top_champion,Blue_bot_player_champ_wr,Blue_jng_player_champ_wr,Blue_mid_player_champ_wr,Blue_sup_player_champ_wr,Blue_top_player_champ_wr,Red_bot_player_champ_wr,Red_jng_player_champ_wr,Red_mid_player_champ_wr,Red_sup_player_champ_wr,Red_top_player_champ_wr,Blue_bot_player_recent_form,Blue_jng_player_recent_form,Blue_mid_player_recent_form,Blue_sup_player_recent_form,Blue_top_player_recent_form,Red_bot_player_recent_form,Red_jng_player_recent_form,Red_mid_player_recent_form,Red_sup_player_recent_form,Red_top_player_recent_form,blue_win_label,patch,teamname_blue,teamname_red
LOLTMNT01_113720,Varus,Viego,LeBlanc,Leona,Renekton,Ashe,Maokai,Hwei,Braum,Twisted Fate,0.5,0.0,0.5,0.0,0.6666666666666666,0.5,0.9,0.5,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0,14.11,Los Grandes,paiN Gaming
LOLTMNT01_113770,Lucian,Sejuani,Hwei,Nami,Renekton,Zeri,Xin Zhao,Taliyah,Lulu,K'Sante,0.5,1.0,0.0,1.0,0.5,0.0,0.3333333333333333,0.6,0.0,1.0,1.0,1.0,0.8,0.8,0.8,0.2,0.2,0.2,0.2,0.2,1,14.11,Fluxo,KaBuM! Esports
LOLTMNT01_113817,Ashe,Lee Sin,Corki,Rell,Kennen,Ziggs,Xin Zhao,Yone,Leona,Gragas,0.0,0.5,1.0,0.5,0.5,0.5,0.3333333333333333,0.5,0.5,0.5,0.0,0.0,0.0,0.25,0.0,0.8,0.8,0.4,0.8,0.8,0,14.11,RED Canids,INTZ
LOLTMNT01_113876,Kalista,Nidalee,Hwei,Nautilus,Skarner,Ashe,Maokai,Tristana,Poppy,Sett,0.5,0.5,1.0,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,1,14.11,LOUD,Liberty
LOLTMNT01_113898,Varus,Nocturne,Orianna,Rell,Jax,Senna,Maokai,Corki,Tahm Kench,Renekton,0.5,0.6,0.7777777777777778,0.5,0.6666666666666666,0.5,0.5,0.5,0.0,0.5,0.6,0.6,0.6,0.6,0.6,0.2,0.5,0.2,0.2,0.5,1,14.11,Vivo Keyd Stars,FURIA
LOLTMNT01_114420,Aphelios,Skarner,Taliyah,Nautilus,Camille,Senna,Lee Sin,Hwei,Ornn,Renekton,0.5,0.5,1.0,0.42857142857142855,0.5,1.0,0.6666666666666666,1.0,0.5,0.5,0.8,0.8,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,14.11,INTZ,LOUD
LOLTMNT01_114460,Ziggs,Maokai,Tristana,Leona,Jax,Varus,Sejuani,Azir,Rell,Poppy,0.5,0.0,0.5,0.5,0.5,0.75,0.5,0.0,0.0,0.5,0.2,0.3333333333333333,0.2,0.2,0.3333333333333333,0.2,0.2,0.2,0.2,0.2,1,14.11,FURIA,KaBuM! Esports
LOLTMNT01_115480,Aphelios,Ivern,Tristana,Leona,K'Sante,Zeri,Sejuani,Hwei,Rakan,Camille,1.0,0.3333333333333333,0.0,0.0,0.625,1.0,1.0,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0,14.11,Liberty,RED Canids
LOLTMNT01_115531,Kalista,Lee Sin,Aurelion Sol,Rell,Mordekaiser,Ashe,Viego,Taliyah,Alistar,Skarner,0.6,0.5,0.25,0.0,0.5,1.0,1.0,0.7142857142857143,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.8,0.8,0.8,0.8,0.8,0,14.11,paiN Gaming,Vivo Keyd Stars
LOLTMNT01_115561,Lucian,Nocturne,Orianna,Nami,Skarner,Varus,Maokai,Hwei,Nautilus,Olaf,0.5,1.0,0.4,0.5,0.0,0.5,0.5,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8,0.8,0.8,0,14.11,Los Grandes,Fluxo
LOLTMNT01_116347,Kalista,Xin Zhao,Hwei,Neeko,Gwen,Draven,Sejuani,Brand,Rell,Aatrox,0.75,0.5,0.5,0.5,0.5,0.6666666666666666,0.3333333333333333,1.0,0.0,0.4444444444444444,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0,14.11,Tropa Raizen,Liberty Academy
LOLTMNT01_116374,Varus,Maokai,Tristana,Leona,Rumble,Kalista,Vi,Taliyah,Neeko,K'Sante,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.4,1.0,0.25,0.6,1.0,1.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,1,14.11,Vivo Keyd Stars Academy,LOUD Academy
LOLTMNT01_116404,Kai'Sa,Nidalee,Taliyah,Leona,Renekton,Jhin,Xin Zhao,Corki,Alistar,Rumble,0.5,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.4,0.5,0,14.11,INTZ Academy,Rise Gaming
LOLTMNT01_116414,Varus,Nidalee,Corki,Leona,Rumble,Jhin,Sejuani,Syndra,Nautilus,Pantheon,0.8333333333333334,0.5,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.6,0.6,0.6,0.6,0.5,1.0,1.0,1.0,1.0,1.0,1,14.11,paiN Gaming Academy,Ilha das Lendas
LOLTMNT01_116435,Jhin,Nidalee,Corki,Rell,Renekton,Varus,Xin Zhao,Syndra,Ashe,Jax,0.5,0.0,0.6666666666666666,0.0,0.6666666666666666,0.8,0.8333333333333334,0.5,0.5,0.0,0.5,0.2,0.2,0.4,0.2,0.4,0.4,0.6,0.4,0.5,1,14.11,RED Academy,Flamengo Academy
LOLTMNT01_118453,Ashe,Vi,Corki,Rell,Rumble,Kalista,Lee Sin,Taliyah,Nautilus,Kennen,0.5,0.5,0.5,0.0,0.0,0.5,0.6666666666666666,0.25,0.75,0.5,0.2,0.2,0.2,0.2,0.4,0.5,0.2,0.4,0.2,0.2,0,14.11,Fluxo Academy,KaBuM! Academy
LOLTMNT01_118461,Sivir,Nocturne,Orianna,Leona,Jax,Varus,Taliyah,Akali,Nautilus,K'Sante,0.5,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.25,0.0,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.2,0.2,0.2,1,14.11,FURIA Youth,Los Grandes Academy
LOLTMNT01_119027,Kalista,Skarner,Ahri,Rell,Olaf,Varus,Sejuani,Corki,Rakan,Rumble,0.5,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.75,1.0,0.6666666666666666,0.6666666666666666,0.8,0.6666666666666666,0.6666666666666666,0.8,1.0,1.0,0.8,0.8,1,14.11,Ilha das Lendas,Vivo Keyd Stars Academy
