gameid,Blue_bot_champion,Blue_jng_champion,Blue_mid_champion,Blue_sup_champion,Blue_top_champion,Red_bot_champion,Red_jng_champion,Red_mid_champion,Red_sup_champion,Red_top_champion,Blue_bot_player_champ_wr,Blue_jng_player_champ_wr,Blue_mid_player_champ_wr,Blue_sup_player_champ_wr,Blue_top_player_champ_wr,Red_bot_player_champ_wr,Red_jng_player_champ_wr,Red_mid_player_champ_wr,Red_sup_player_champ_wr,Red_top_player_champ_wr,Blue_bot_player_recent_form,Blue_jng_player_recent_form,Blue_mid_player_recent_form,Blue_sup_player_recent_form,Blue_top_player_recent_form,Red_bot_player_recent_form,Red_jng_player_recent_form,Red_mid_player_recent_form,Red_sup_player_recent_form,Red_top_player_recent_form,Blue_bot_champ_meta_wr,Blue_jng_champ_meta_wr,Blue_mid_champ_meta_wr,Blue_sup_champ_meta_wr,Blue_top_champ_meta_wr,Red_bot_champ_meta_wr,Red_jng_champ_meta_wr,Red_mid_champ_meta_wr,Red_sup_champ_meta_wr,Red_top_champ_meta_wr,Blue_Team_Strength,Red_Team_Strength,blue_win_label
LOLTMNT01_113720,Varus,Viego,LeBlanc,Leona,Renekton,Ashe,Maokai,Hwei,Braum,Twisted Fate,0.5,0.0,0.5,0.0,0.6666666666666666,0.5,0.9,0.5,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.56,0.36,0.47058823529411764,0.45454545454545453,0.5,0.3793103448275862,0.58,0.48,0.6666666666666666,0.2631578947368421,0.3452380952380952,0.5595238095238094,0
LOLTMNT01_113770,Lucian,Sejuani,Hwei,Nami,Renekton,Zeri,Xin Zhao,Taliyah,Lulu,K'Sante,0.5,1.0,0.0,1.0,0.5,0.0,0.3333333333333333,0.6,0.0,1.0,1.0,1.0,0.8,0.8,0.8,0.2,0.2,0.2,0.2,0.2,0.5,0.5,0.48,0.5675675675675675,0.48,0.5,0.4,0.58,0.4,0.44,0.6416666666666667,0.49253285543608116,1
LOLTMNT01_113817,Ashe,Lee Sin,Corki,Rell,Kennen,Ziggs,Xin Zhao,Yone,Leona,Gragas,0.0,0.5,1.0,0.5,0.5,0.5,0.3333333333333333,0.5,0.5,0.5,0.0,0.0,0.0,0.25,0.0,0.8,0.8,0.4,0.8,0.8,0.4,0.5,0.5714285714285714,0.4,0.5,0.5,0.4,0.5714285714285714,0.43478260869565216,0.5,0.5088383838383839,0.4427745193874227,0
LOLTMNT01_113876,Kalista,Nidalee,Hwei,Nautilus,Skarner,Ashe,Maokai,Tristana,Poppy,Sett,0.5,0.5,1.0,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.48,0.5,0.48,0.5,0.6,0.3870967741935484,0.58,0.55,0.45,0.5,0.65625,0.4583333333333333,1
LOLTMNT01_113898,Varus,Nocturne,Orianna,Rell,Jax,Senna,Maokai,Corki,Tahm Kench,Renekton,0.5,0.6,0.7777777777777778,0.5,0.6666666666666666,0.5,0.5,0.5,0.0,0.5,0.6,0.6,0.6,0.6,0.6,0.2,0.5,0.2,0.2,0.5,0.54,0.5,0.5,0.38,0.64,0.6,0.56,0.5517241379310345,0.6842105263157895,0.5,0.6122291021671826,0.4354838709677419,1
LOLTMNT01_114420,Aphelios,Skarner,Taliyah,Nautilus,Camille,Senna,Lee Sin,Hwei,Ornn,Renekton,0.5,0.5,1.0,0.42857142857142855,0.5,1.0,0.6666666666666666,1.0,0.5,0.5,0.8,0.8,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.6666666666666666,0.56,0.52,0.5,0.58,0.48,0.48,0.7,0.48,0.46362920168067223,0.6641414141414143,1
LOLTMNT01_114460,Ziggs,Maokai,Tristana,Leona,Jax,Varus,Sejuani,Azir,Rell,Poppy,0.5,0.0,0.5,0.5,0.5,0.75,0.5,0.0,0.0,0.5,0.2,0.3333333333333333,0.2,0.2,0.3333333333333333,0.2,0.2,0.2,0.2,0.2,0.5,0.56,0.5365853658536586,0.4583333333333333,0.64,0.54,0.5,0.52,0.4,0.42857142857142855,0.37276785714285715,0.47842261904761907,1
LOLTMNT01_115480,Aphelios,Ivern,Tristana,Leona,K'Sante,Zeri,Sejuani,Hwei,Rakan,Camille,1.0,0.3333333333333333,0.0,0.0,0.625,1.0,1.0,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.6129032258064516,0.6153846153846154,0.5476190476190477,0.48,0.44,0.48,0.5,0.46,0.62,0.5555555555555556,0.4404761904761905,0.48921568627450984,0
LOLTMNT01_115531,Kalista,Lee Sin,Aurelion Sol,Rell,Mordekaiser,Ashe,Viego,Taliyah,Alistar,Skarner,0.6,0.5,0.25,0.0,0.5,1.0,1.0,0.7142857142857143,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.8,0.8,0.8,0.8,0.8,0.48,0.48,0.5652173913043478,0.38,0.5,0.375,0.34615384615384615,0.58,0.5428571428571428,0.7142857142857143,0.5678294573643411,0.6202075702075702,0
LOLTMNT01_115561,Lucian,Nocturne,Orianna,Nami,Skarner,Varus,Maokai,Hwei,Nautilus,Olaf,0.5,1.0,0.4,0.5,0.0,0.5,0.5,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8,0.8,0.8,0.52,0.5185185185185185,0.52,0.5789473684210527,0.75,0.54,0.56,0.48,0.52,0.5666666666666667,0.33620689655172414,0.6547619047619048,0
